event,level,capture_efficiency,risk_duration,ghost_proximity,input_density,survival_time,timestamp
trail_close,1,5.05,1.248,18.51,1,261.636,1778336704.867
trail_close,1,10.53,1.57,16.37,1,1.981,1778336706.848
player_death,1,15.58,5.785,6.28,0,6.224,1778336713.072
trail_close,1,7.58,1.25,7.59,0,16.232,1778336729.304
trail_close,1,29.47,2.311,11.19,0,2.558,1778336731.862
trail_close,1,1.79,0.909,14.46,3,1.473,1778336733.335
trail_close,1,0.21,0.167,8.68,1,0.58,1778336733.915
trail_close,1,15.05,1.904,13.7,2,2.069,1778336735.984
trail_close,1,1.89,0.668,4.85,1,1.05,1778336737.034
trail_close,1,2.32,1.24,10.85,5,1.491,1778336738.525
trail_close,1,4.32,1.325,5.7,2,1.575,1778336740.1
trail_close,1,5.37,0.82,8.55,0,1.313,1778336741.413
player_death,2,0.0,0.149,0.9,0,6.336,1778336747.749
player_death,2,0.0,1.114,9.5,3,1.616,1778336749.364
player_death,2,0.0,3.926,9.75,5,4.01,1778336753.374
trail_close,1,19.58,2.245,17.35,2,58.173,1778336811.547
trail_close,1,22.0,2.914,24.85,4,3.245,1778336814.792
trail_close,1,1.58,0.579,16.91,1,0.973,1778336815.765
trail_close,1,56.84,1.988,499.95,4,2.484,1778336818.249
trail_close,2,0.84,0.664,1.54,2,1.912,1778336820.161
trail_close,2,18.32,2.32,7.41,3,2.768,1778336822.929
trail_close,2,18.21,3.123,13.19,3,3.4,1778336826.329
trail_close,2,5.68,1.666,16.55,1,2.031,1778336828.359
trail_close,2,10.11,0.503,15.62,0,0.996,1778336829.355
trail_close,2,9.05,1.08,4.13,2,1.923,1778336831.278
trail_close,2,15.26,1.491,13.18,2,1.822,1778336833.1
trail_close,2,12.63,1.238,8.92,0,2.445,1778336835.545
trail_close,3,6.95,1.315,25.2,1,2.619,1778336838.164
trail_close,3,1.05,0.585,5.22,2,1.346,1778336839.51
trail_close,3,34.32,3.559,7.32,4,3.721,1778336843.231
player_death,3,42.32,3.081,0.41,0,3.446,1778336846.677
trail_close,3,10.11,1.336,9.05,2,3.601,1778336850.278
player_death,3,52.42,1.237,5.86,1,2.365,1778336852.643
trail_close,3,3.89,0.992,8.82,1,2.636,1778336855.279
trail_close,3,0.42,0.253,5.42,1,0.667,1778336855.946
trail_close,3,1.47,1.163,4.8,1,1.574,1778336857.52
trail_close,3,10.53,0.905,11.08,1,2.074,1778336859.594
trail_close,3,6.21,1.166,6.32,4,1.745,1778336861.339
trail_close,3,1.16,0.909,6.18,1,0.99,1778336862.329
trail_close,3,2.11,0.746,2.91,1,1.074,1778336863.403
trail_close,3,1.68,0.583,4.53,1,1.159,1778336864.562
trail_close,3,0.32,0.086,3.38,0,1.153,1778336865.715
trail_close,4,7.47,1.585,12.08,3,2.896,1778336868.612
trail_close,4,0.84,0.42,4.14,1,15.265,1778336883.876
trail_close,4,1.16,0.584,7.42,2,1.424,1778336885.3
trail_close,4,2.63,0.745,23.5,1,2.178,1778336887.478
trail_close,4,0.11,0.085,16.66,1,0.928,1778336888.407
trail_close,4,0.84,0.504,11.91,1,1.083,1778336889.49
player_death,4,13.05,1.198,2.55,5,1.528,1778336891.018
trail_close,4,0.53,0.411,5.53,1,1.58,1778336892.598
trail_close,4,4.0,1.08,13.37,2,1.489,1778336894.087
trail_close,4,1.68,0.59,13.49,1,1.067,1778336895.154
player_death,4,19.26,0.269,0.36,1,0.603,1778336895.757
trail_close,4,1.05,0.494,7.62,1,2.334,1778336898.091
trail_close,4,6.95,1.581,5.42,1,2.166,1778336900.257
trail_close,4,0.95,0.329,4.1,0,0.408,1778336900.665
trail_close,4,1.89,0.584,5.89,0,2.509,1778336903.174
trail_close,4,2.11,0.981,12.04,2,3.734,1778336906.908
trail_close,4,30.74,2.392,10.95,3,3.874,1778336910.782
trail_close,4,3.47,1.071,6.22,1,2.968,1778336913.75
trail_close,4,10.84,1.578,4.6,2,2.906,1778336916.656
trail_close,4,1.47,0.715,13.39,2,2.607,1778336919.263
trail_close,4,1.58,0.582,4.04,1,0.76,1778336920.023
trail_close,5,2.21,0.741,13.06,1,3.305,1778336923.328
trail_close,5,10.21,1.903,16.61,5,3.062,1778336926.39
trail_close,5,1.68,0.582,23.66,1,2.321,1778336928.711
trail_close,5,2.32,0.837,17.28,2,1.175,1778336929.886
trail_close,5,1.47,1.163,6.26,1,1.489,1778336931.375
trail_close,5,2.95,0.838,19.66,1,3.247,1778336934.622
player_death,5,20.84,2.473,0.45,6,3.082,1778336937.704
player_death,5,20.84,0.033,0.77,0,0.679,1778336938.383
trail_close,5,0.42,0.254,2.34,1,0.956,1778336939.339
trail_close,5,18.11,3.032,3.88,3,4.025,1778336943.364
trail_close,5,19.58,2.066,8.2,0,2.892,1778336946.256
trail_close,5,3.79,0.75,9.85,0,1.802,1778336948.058
trail_close,5,2.95,0.834,3.77,1,1.63,1778336949.687
trail_close,5,10.11,1.661,11.1,2,2.899,1778336952.586
trail_close,5,3.79,0.996,4.54,0,2.032,1778336954.619
trail_close,5,3.47,0.995,2.52,2,1.659,1778336956.277
trail_close,6,13.68,2.658,14.6,4,3.968,1778336960.245
trail_close,6,5.89,1.176,8.66,1,1.582,1778336961.827
trail_close,6,5.37,1.569,6.71,1,2.727,1778336964.554
trail_close,6,0.32,0.317,12.33,2,1.397,1778336965.951
player_death,6,25.26,0.891,4.13,1,1.878,1778336967.829
trail_close,6,0.53,0.417,15.5,0,1.432,1778336969.261
trail_close,6,7.26,2.721,23.24,0,2.966,1778336972.227
trail_close,6,9.58,1.57,5.26,1,2.387,1778336974.614
trail_close,6,3.37,0.904,2.25,1,3.057,1778336977.671
trail_close,6,0.42,0.517,1.9,2,1.211,1778336978.882
trail_close,6,0.21,0.167,1.92,1,0.743,1778336979.625
trail_close,6,4.63,1.095,9.98,3,1.713,1778336981.338
trail_close,6,1.05,0.824,1.87,2,2.68,1778336984.018
trail_close,6,1.68,0.501,5.87,1,1.177,1778336985.195
player_death,6,54.0,0.0,0.27,0,0.33,1778336985.525
trail_close,6,6.53,1.404,10.87,2,5.668,1778336991.193
trail_close,6,2.63,0.744,11.63,1,2.676,1778336993.869
trail_close,6,1.26,0.331,11.24,0,2.07,1778336995.939
trail_close,6,0.63,0.247,7.2,0,0.494,1778336996.432
player_death,6,65.05,0.0,0.36,0,2.484,1778336998.917
trail_close,1,100.0,2.476,20.7,2,5.366,1778337004.282
trail_close,2,2.53,0.739,5.52,1,2.329,1778337006.611
trail_close,2,4.21,1.077,15.68,1,1.806,1778337008.417
trail_close,2,0.84,0.666,3.76,2,1.829,1778337010.246
trail_close,2,62.0,4.411,13.57,8,5.274,1778337015.52
trail_close,2,2.53,0.834,12.69,1,1.478,1778337016.997
